Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
154.0,Utawarerumono: Itsuwari no Kamen,2015,Adventure,Deep Silver,0.02,0.0,0.08,0.01,0.11
155.0,Zero Escape: Zero Time Dilemma,2016,Adventure,Aksys Games,0.06,0.0,0.04,0.02,0.11
156.0,Samurai Warriors 4,2014,Misc,Tecmo Koei,0.0,0.0,0.11,0.0,0.11
157.0,Digimon World: Next Order,2016,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
158.0,Taiko no Tatsujin: V Version,2015,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
159.0,Girls und Panzer: I Will Master Tankery,2014,Misc,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
160.0,Army Corps of Hell,2011,Action,Square Enix,0.04,0.04,0.0,0.02,0.1
161.0,Terraria,2013,Action-Adventure,Screenlife,0.0,0.01,0.09,0.0,0.1
162.0,Hyperdimension Neptunia Re;Birth 3,2014,Action,Idea Factory International,0.05,0.02,0.0,0.02,0.1
163.0,Steins;Gate,2013,Adventure,PQube,0.04,0.04,0.0,0.02,0.1
164.0,Lord of Apocalypse,2011,Role-Playing,Square Enix,0.0,0.0,0.1,0.0,0.1
165.0,Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,2012,Misc,Gust,0.0,0.0,0.1,0.0,0.1
166.0,Michael Jackson The Game,2011,Misc,Ubisoft,0.04,0.04,0.0,0.02,0.1
167.0,Tales of Innocence,2012,Role-Playing,Namco Bandai,0.0,0.0,0.1,0.0,0.1
168.0,Jikkyou Powerful Pro Yakyuu 2013,2013,Misc,Konami Digital Entertainment,0.0,0.0,0.1,0.0,0.1
169.0,Dead or Alive 5,2013,Fighting,Tecmo Koei,0.0,0.06,0.03,0.02,0.1
170.0,Utawarerumono: Futari no Hakuoro,2016,Misc,Atlus,0.01,0.0,0.08,0.0,0.1
171.0,Hyperdimension Idol Neptunia PP,2013,Misc,Namco Bandai Games,0.02,0.02,0.04,0.01,0.1
172.0,Gundam Breaker,2013,Misc,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
173.0,Supremacy MMA,2012,Fighting,505 Games,0.02,0.05,0.0,0.02,0.1
174.0,Lost Dimension,2014,Misc,NIS America,0.04,0.02,0.02,0.02,0.1
175.0,Summon Night 6: Lost Borders,2016,Action,Gaijinworks,0.02,0.0,0.07,0.01,0.09
176.0,Earth Defense Force 2: Invaders from Planet Space,2014,Action,Xseed Games,0.04,0.0,0.04,0.01,0.09
177.0,Angry Birds: Star Wars,2013,Puzzle,Activision,0.03,0.04,0.0,0.02,0.09
178.0,Invizimals: The Alliance,2013,Action-Adventure,Sony Computer Entertainment,0.0,0.07,0.0,0.02,0.09
179.0,Alien,2012,Misc,Gust,0.0,0.0,0.09,0.0,0.09
